id,titulo,autor,precio,idEditorial
75,Photofeed,Hedi Weymont,962.09,4
76,Zoovu,Lynn Comport,451.94,1
77,Edgeify,Brodie Strooband,655.84,5
78,Topdrive,Kaitlyn Lucock,396.29,2
79,Mycat,Ellissa Watterson,584.84,5
80,Dabfeed,Hilliard Philcott,358.79,5
81,Rhyloo,Leupold Bourthoumieux,576.71,5
82,Skyble,Adriane Mickleborough,882.79,4
83,Digitube,Tamqrah Florez,431.92,5
84,Brightbean,Stacey Paulich,138.41,1
85,Pixoboo,Yard Wennam,570.82,3
86,Twitterbeat,Dyana Coytes,348.1,5
87,Meemm,Zelig Mangin,779.83,5
88,Thoughtbeat,Irina Rowett,687.92,6
89,Yodo,Isacco Dincke,49.26,5
90,Thoughtblab,Cthrine Zum Felde,751.62,6
91,Realcube,Sholom Douthwaite,821.84,5
92,Yacero,Janeva Bullan,357.98,4
93,Jaxworks,Phylis Di Iorio,608.66,1
94,Bubbletube,Brendis Koch,667.38,4
95,Latz,Constance Dwyer,949.82,1
96,Eazzy,Harlen Yannoni,452.34,3
97,Feedbug,Alisa Mabbe,706.3,6
98,Buzzdog,Cherilyn Cooke,602.11,2
99,Jamia,Nata Deinert,335.42,5
100,Linkbuzz,Anton Nenci,30.57,2
101,Chatterbridge,Ingaberg Barbary,369.73,4
102,Geba,Elysia Mapples,636.9,5
103,Mynte,Weidar Labb,142.65,1
104,Tagtune,Carine Hartshorn,58.81,2
105,Jaxworks,Shelia Canet,181.1,6
106,Youspan,Avrom Pyrton,710.59,6
107,Agimba,Burty Pennetti,877.79,5
108,Riffpath,Margery Marcu,733.57,3
109,Gabcube,Fields Denisard,166.28,4
110,Centizu,Cassi Portman,551.02,3
111,Brainsphere,Osbourne Gange,426.38,5
112,Zoomlounge,Nelle Petschelt,553.92,1
113,Thoughtmix,Meara Sukbhans,442.55,1
114,Flashset,Selina Boynes,810.77,1
115,Quinu,Lem Dignum,216.18,6
116,Wikivu,Tallia Rippingale,878.8,2
117,Jabbersphere,Mozes Paul,406.63,2
118,Vipe,Christie Singleton,54.72,5
119,Linkbuzz,Kary Fitzmaurice,187.81,1
120,Bubblebox,Vernice Mc-Kerley,74.15,1
